线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4327,32路,800001,->4246,10,416.10,102.40,1,26.40,19.40,7.00,4246,1,1,41.30,41.30,257.00,194.00,19.40,63.00,7.00
4327,32路,800001,4246->4245,10,78.49,28.70,0,9.00,0.00,9.00,4245,2,1,40.00,80.00,81.00,0.00,0.00,81.00,9.00
4327,32路,800001,4245->4247,11,257.71,83.20,1,30.50,19.50,11.00,4247,3,2,93.20,279.60,313.50,214.50,19.50,99.00,11.00
4327,32路,800001,4247->,12,433.62,149.20,1,78.50,78.50,0.00, ,0,0,0.00,0.00,942.00,942.00,78.50,0.00,0.00
4327,32路,800002,->4246,10,415.81,132.40,1,56.20,45.20,11.00,4246,3,1,71.40,214.20,551.00,452.00,45.20,99.00,11.00
4327,32路,800002,4246->4245,12,78.49,28.80,0,9.00,0.00,9.00,4245,2,2,70.20,140.40,90.00,0.00,0.00,90.00,9.00
4327,32路,800002,4245->4247,12,257.73,96.10,1,43.20,32.20,11.00,4247,3,2,76.30,228.90,496.40,386.40,32.20,110.00,11.00
4327,32路,800002,4247->,13,433.62,146.10,1,75.40,75.40,0.00, ,0,0,0.00,0.00,980.20,980.20,75.40,0.00,0.00
4327,32路,800003,->4246,10,416.04,156.30,1,80.20,71.20,9.00,4246,2,1,65.30,130.60,793.00,712.00,71.20,81.00,9.00
4327,32路,800003,4246->4245,11,78.49,30.70,0,11.00,0.00,11.00,4245,3,2,66.00,198.00,99.00,0.00,0.00,99.00,11.00
4327,32路,800003,4245->4247,12,257.73,111.20,1,58.50,49.50,9.00,4247,2,2,87.20,174.40,684.00,594.00,49.50,90.00,9.00
4327,32路,800003,4247->,12,433.62,145.20,1,74.50,74.50,0.00, ,0,0,0.00,0.00,894.00,894.00,74.50,0.00,0.00
4327,32路,800004,->4246,10,415.89,76.30,0,7.00,0.00,7.00,4246,1,1,15.30,15.30,63.00,0.00,0.00,63.00,7.00
4327,32路,800004,4246->4245,10,78.49,25.70,0,6.00,0.00,6.00,4245,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4327,32路,800004,4245->,9,691.47,221.40,3,104.10,104.10,0.00,4247,0,0,0.00,0.00,936.90,936.90,104.10,0.00,0.00
4327,32路,800005,->4246,10,415.78,77.50,0,9.00,0.00,9.00,4246,2,1,46.50,93.00,81.00,0.00,0.00,81.00,9.00
4327,32路,800005,4246->4245,11,78.49,28.70,0,9.00,0.00,9.00,4245,2,2,75.20,150.40,81.00,0.00,0.00,81.00,9.00
4327,32路,800005,4245->4247,11,257.73,117.00,1,64.30,53.30,11.00,4247,3,2,102.20,306.60,685.30,586.30,53.30,99.00,11.00
4327,32路,800005,4247->,12,433.62,140.20,1,69.50,69.50,0.00, ,0,0,0.00,0.00,834.00,834.00,69.50,0.00,0.00
