线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4327,32路,800001,16,1185.94,363.50,3,144.40,117.40,27.00,400.90,66.82,1593.50,1350.50,243.00
4327,32路,800002,18,1185.66,403.40,3,183.80,152.80,31.00,583.50,72.94,2117.60,1818.60,299.00
4327,32路,800003,17,1185.89,443.40,3,224.20,195.20,29.00,503.00,71.86,2470.00,2200.00,270.00
4327,32路,800004,11,1185.85,323.40,3,117.10,104.10,13.00,15.30,15.30,1053.90,936.90,117.00
4327,32路,800005,17,1185.62,363.40,2,151.80,122.80,29.00,550.00,78.57,1681.30,1420.30,261.00
4327,32路,800006,15,1186.26,243.40,2,31.00,6.00,25.00,336.80,67.36,285.00,60.00,225.00
4327,32路,800007,18,1185.47,290.90,3,77.60,46.60,31.00,672.30,84.04,804.60,514.60,290.00
4327,32路,800008,17,1186.23,323.40,3,110.60,81.60,29.00,564.80,80.69,1145.80,866.80,279.00
4327,32路,800009,18,1186.62,363.40,3,150.00,119.00,31.00,617.20,77.15,1589.20,1299.20,290.00
4327,32路,800010,11,1185.36,250.80,1,39.10,20.10,19.00,15.30,15.30,325.80,160.80,165.00
4327,32路,800011,16,1185.70,283.40,1,79.00,52.00,27.00,383.40,63.90,815.00,572.00,243.00
4327,32路,800012,18,1186.03,323.40,3,104.20,73.20,31.00,570.20,71.28,1196.50,906.50,290.00
4327,32路,800013,17,1185.93,363.40,3,144.20,115.20,29.00,500.30,71.47,1583.00,1304.00,279.00
4327,32路,800014,17,1185.73,407.50,3,186.10,157.10,29.00,604.20,86.31,1974.10,1713.10,261.00
4327,32路,800015,12,1186.42,286.30,2,77.10,63.10,14.00,56.00,28.00,757.00,631.00,126.00
4327,32路,800016,17,1186.50,330.40,2,114.60,85.60,29.00,502.40,71.77,1251.00,990.00,261.00
4327,32路,800017,15,1186.17,227.20,0,25.00,0.00,25.00,305.90,61.18,225.00,0.00,225.00
4327,32路,800018,18,1187.48,259.60,1,54.30,23.30,31.00,613.60,76.70,523.00,233.00,290.00
4327,32路,800019,15,599.03,180.90,1,69.20,49.20,20.00,373.90,74.78,681.00,492.00,189.00
4327,32路,800020,10,291.54,60.90,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
